日期,曲线名称,价格类型,1M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
2017-03-01,FR007利率互换收盘曲线,报买,3.0275,3.1888,3.2575,3.3175,3.3813,3.5063,3.6325,3.7613,3.8738,4.0413,4.2475
2017-03-01,FR007利率互换收盘曲线,均值,3.1088,3.2331,3.2925,3.3488,3.4044,3.5338,3.6606,3.7931,3.9025,4.1088,4.3181
2017-03-01,FR007利率互换收盘曲线,报卖,3.1900,3.2775,3.3275,3.3800,3.4275,3.5613,3.6888,3.8250,3.9313,4.1763,4.3888
2017-03-01,FR007利率互换定盘曲线,报买,3.0022,3.1763,3.2419,3.3037,3.3700,3.5050,3.6239,3.7528,3.8661,4.0400,4.2256
2017-03-01,FR007利率互换定盘曲线,均值,3.0839,3.2237,3.2784,3.3377,3.3936,3.5336,3.6517,3.7842,3.8944,4.1044,4.3056
2017-03-01,FR007利率互换定盘曲线,报卖,3.1656,3.2711,3.3150,3.3717,3.4172,3.5622,3.6794,3.8156,3.9228,4.1689,4.3856
